ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_ID2,Reviewer_Name2,Reviewer_Comments
1,HARISH MENON,Male,East,KARNATA,560032,INDIVIDUAL,VOTER_ID,TRX2458591,Commercial,1,31/01/2022,12/02/2022,01/03/2022,Connection Released,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation completed
2,GANESH VERMA,Female,South,KARNATA,560058,JOINT,AADHAR,9.88022E+11,Residential,12,09/03/2023,18/03/2023,25/03/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
3,JASON PHILIP,Male,East,KARNATA,560045,JOINT,AADHAR,6.05645E+11,Residential,7,22/03/2022,16/04/2022,06/05/2022,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
4,PREMA NAIR,Male,South,KARNATA,560038,INDIVIDUAL,VOTER_ID,WJL7120868,Residential,6,30/12/2022,12/01/2023,15/01/2023,Connection Released,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation completed
5,SUNITA MEHTA,Male,West,KARNATA,560049,JOINT,VOTER_ID,RVU4842788,Residential,6,15/02/2023,26/02/2023,17/03/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
6,PRAKASH CHETTIAR,Female,West,KARNATA,560019,JOINT,VOTER_ID,GOG8187926,Commercial,6,13/08/2022,22/08/2022,08/09/2022,Rejected,2456,RAHUL SINGH,2456,RAHUL SINGH,KYC failed
7,HEMA REDDY,Male,South,KARNATA,560021,JOINT,AADHAR,5.18264E+11,Commercial,9,15/09/2022,20/09/2022,24/09/2022,Rejected,4510,VINOD GUPTA,4510,VINOD GUPTA,KYC failed
8,NALINI GEORGE,Male,East,KARNATA,560056,INDIVIDUAL,PASSPORT,A5418934,Residential,9,19/04/2022,,24/04/2022,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
9,ALEX JACOB,Male,North,KARNATA,560042,JOINT,AADHAR,4.38473E+11,Residential,1,04/09/2022,,06/09/2022,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
10,SWATI NAIR,Male,South,KARNATA,560061,INDIVIDUAL,PAN,NPZYT4295W,Commercial,7,19/11/2023,,27/11/2023,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
11,MICHELLE MEHTA,Male,North,KARNATA,560044,INDIVIDUAL,VOTER_ID,PAS1987737,Residential,2,02/02/2022,,04/02/2022,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
12,SUSANA CHETTIAR,Male,South,KARNATA,560061,INDIVIDUAL,PASSPORT,G4194548,Residential,2,06/11/2023,24/11/2023,08/12/2023,Approved,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation pending
13,SHANTI IYER,Male,West,KARNATA,560044,INDIVIDUAL,VOTER_ID,END4078418,Commercial,8,13/09/2022,,15/09/2022,Pending,2456,RAHUL SINGH,2456,RAHUL SINGH,Documents verification in progress
14,LISA THEVAR,Male,North,KARNATA,560031,INDIVIDUAL,PASSPORT,H9075854,Residential,7,02/03/2022,07/03/2022,20/03/2022,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
15,IMRAN RODRIGUES,Female,South,KARNATA,560025,JOINT,VOTER_ID,ZPO6261415,Residential,1,22/08/2023,12/09/2023,18/09/2023,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
16,JAYA SINGH,Male,North,KARNATA,560031,JOINT,AADHAR,3.7303E+11,Residential,10,25/03/2022,17/04/2022,06/05/2022,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
17,PHOEBE GUPTA,Female,South,KARNATA,560034,JOINT,VOTER_ID,RHI2217071,Residential,8,29/09/2023,07/10/2023,10/10/2023,Rejected,4510,VINOD GUPTA,4510,VINOD GUPTA,KYC failed
